Step,AgentID,first_odor_concentration,olfactory_activation,first_odor_concentration_change,turner_activation,turner_activity,torque,orientation_to_center,centroid_x,centroid_y,bend,front_orientation,rear_orientation,dst_to_center,scaled_dst_to_center
86,Larva_0,1.4772028087859623,-0.11054026701537405,-0.0037791796793258266,12.069685397391215,1.771576720417818,0.7263464553713054,-173.4328365933613,9.306115568085634,0.9988259175795045,29.235641595412933,12.69327081384545,343.45762921843254,9.35956410203992,2.691952575859841
87,Larva_0,1.470742072912199,-0.10623876400997846,-0.004373628208216812,29.643360095937744,3.4828628028236874,1.4279737491577118,-169.40201973674573,9.365783943731984,1.0168343392895676,31.254635528038154,16.794259445470622,345.5396239174325,9.420820609385697,2.709570876342627
88,Larva_0,1.467003106968227,-0.09950063391424394,-0.0025422309001934358,18.056365192522282,-3.5399348860156277,-1.4513733032664073,-167.22672749166134,9.410030249641592,1.0320976329704872,31.924097242458718,19.03248809772023,347.1083908552615,9.466461578813549,2.7226979113067094
89,Larva_0,1.4642003869005684,-0.09244153884989018,-0.0019105072472892072,4.743818128619852,-2.104439053783818,-0.8628200120513654,-166.27260613832786,9.556416716013405,1.085988278377223,31.898947546030957,20.210655979274808,348.31170843324384,9.61792446377456,2.766260933993748
90,Larva_0,1.452255653327226,-0.09541835808210347,-0.008157854403130695,9.025652478283543,-0.2902437682827088,-0.1189999449959106,-165.59174100317713,9.637651091032417,1.117204620921892,28.70156930144449,21.02052160359978,352.3189523021553,9.702188656044962,2.7904965935781103
91,Larva_0,1.4456803812044328,-0.092591362581748,-0.004527627148655781,11.818923383384597,-0.8821693647188148,-0.36168943953471405,-165.3902301165578,9.758472350333873,1.164591298957495,27.08488259148853,21.41535002721204,354.3304674357235,9.827718733553489,2.826600947564352
92,Larva_0,1.4354373060577903,-0.09373521915957442,-0.007085297192805993,19.87544413116998,-1.6717518857869123,-0.6854182731726339,-165.59729951786616,9.826328024831504,1.1910660934536816,24.152631878698834,21.313904786958044,357.1612729082592,9.89825039542666,2.8468869231492375
93,Larva_0,1.429493442539046,-0.09038063735657866,-0.004140803289464612,20.886959257688225,-0.26819668576583616,-0.10996064116399282,-165.89004395660575,9.924863664377902,1.229226741827919,22.59225994744408,21.170270871482472,358.5780109240384,10.00069583275652,2.876351784535795
94,Larva_0,1.4208451816626422,-0.09004854492624745,-0.006049877963093614,12.201469864101364,-9.413504206599033,-3.859536724705603,-168.34333170683993,10.03121000958413,1.2655274883628989,18.34653841013104,18.847059832972306,0.5005214228412782,10.110723716934558,2.9079974726255773
95,Larva_0,1.4105128504576676,-0.09140363357880661,-0.007271961321559254,29.145719581442577,2.1830296393943773,0.8950421521516947,-169.74130733422217,10.187085466298804,1.3150164256561365,15.45334313652197,17.61413567867751,2.1607925421555647,10.271610316665141,2.9542708985933186
96,Larva_0,1.3965034331063757,-0.09627152502115116,-0.009932144430124325,34.94665804160985,0.955354276784717,0.39169525348173395,-170.61633971566476,10.368111924070313,1.3700550681082715,12.715110991077513,16.911183799180403,4.196072808102899,10.458240567117308,3.0079485889174418
97,Larva_0,1.3805285390210016,-0.1026168461821306,-0.011439208602473418,13.548226345414935,-0.023932008421960305,-0.009812123453003724,-171.30754644031194,10.549129410338107,1.4232496896644524,10.242669836536578,16.376192424696164,6.133522588159579,10.644706242785208,3.0615789450377924
98,Larva_0,1.3645907113477953,-0.10831377420122379,-0.011544728864865449,16.67271801465014,-0.6895376771236246,-0.28271044762068603,-171.97071934013667,10.674815865181099,1.4588419811985758,8.12142092897238,15.811230462525588,7.689809533553226,10.7740388750751,3.0987769714458406
99,Larva_0,1.3534546165985126,-0.10865044027883426,-0.008160758135517166,25.01033842444842,-2.2851597214163397,-0.9369154857806993,-172.95288838370044,10.704714870110687,1.4667691356569994,6.305072963349869,14.8492425477652,8.54416958441532,10.804736560772078,3.1076060913903167
100,Larva_0,1.3505728559784755,-0.10067006526317981,-0.0021291889544693397,15.175708610964172,-19.19262528966131,-7.868976368761137,-178.20029702882704,10.800011006654811,1.4829179482947754,0.9167000937803429,9.617930659116494,8.70123056533616,10.901343191792463,3.1353916235353214
101,Larva_0,1.341494108436123,-0.09961928707920549,-0.006722145719251221,-1.0486854629922817,-5.205142869167192,-2.134108576358549,176.70912256193202,10.984480794786318,1.4973437882049514,-4.301061348338805,4.471523528993436,8.772584877332246,11.086065882498868,3.1885206707479465
102,Larva_0,1.3259598169631517,-0.10503376494767694,-0.011579843232469134,30.671087984869203,-3.4983718938825943,-1.4343324764918635,172.18199163054416,11.20318333909931,1.4965446341668462,-8.341040223751683,359.7906382391726,8.131678462924311,11.30269714588186,3.2508271073637833
103,Larva_0,1.3085015090966645,-0.11183887732707655,-0.013166543693964996,27.862759236900366,-3.825801776696511,-1.5685787284455694,167.86343234716736,11.286850356765072,1.4897874003416471,-11.279974754503108,355.3826192532214,6.662594007724494,11.384746702242635,3.274425804075034
104,Larva_0,1.303188932628118,-0.10593887669472819,-0.004060046115051117,32.08474331744978,-1.9016091560603892,-0.7796597539847595,164.2584409646437,11.392376375270663,1.474264883879045,-14.268090304836079,351.6319963736477,5.9000866784837855,11.487371171145469,3.303942157657037
